time,Vin,Vout
0.0123,0.01,-0.30699999999999994
0.0123,0.00995,-0.30699999999999994
0.0123,0.00975,-0.29700000000000015
0.0123,0.00941,-0.2869999999999999
0.0123,0.00893,-0.2669999999999999
0.0123,0.00831,-0.2570000000000001
0.0124,0.00756,-0.22699999999999987
0.0124,0.00671,-0.20699999999999985
0.0124,0.00575,-0.17700000000000005
0.0124,0.0047,-0.137
0.0124,0.00359,-0.10699999999999976
0.0125,0.00242,-0.06699999999999973
0.0125,-0.00124,0.03299999999999992
0.0125,-0.00244,0.07299999999999995
0.0126,-0.00361,0.1030000000000002
0.0126,-0.00473,0.14300000000000024
0.0126,-0.00577,0.17300000000000004
0.0126,-0.00672,0.19300000000000006
0.0126,-0.00758,0.22299999999999986
0.0127,-0.00832,0.24299999999999988
0.0127,-0.00894,0.2629999999999999
0.0127,-0.00942,0.27300000000000013
0.0127,-0.00976,0.2829999999999999
0.0127,-0.00995,0.2829999999999999
0.0128,-0.01,0.29300000000000015
0.0128,-0.00991,0.2829999999999999
0.0128,-0.00967,0.2829999999999999
0.0128,-0.00928,0.27300000000000013
0.0128,-0.00875,0.2530000000000001
0.0128,-0.0081,0.2330000000000001
0.0129,-0.00732,0.21300000000000008
0.0129,-0.00643,0.18300000000000027
0.0129,-0.00544,0.16300000000000026
0.0129,-0.00437,0.133
0.0129,-0.00324,0.09299999999999997
0.013,-0.00206,0.06300000000000017
0.013,0.0016,-0.04700000000000015
0.013,0.0028,-0.08699999999999974
0.0131,0.00395,-0.11699999999999999
0.0131,0.00505,-0.1469999999999998
0.0131,0.00607,-0.18699999999999983
0.0131,0.00699,-0.20699999999999985
0.0131,0.00782,-0.2370000000000001
0.0132,0.00852,-0.2570000000000001
0.0132,0.0091,-0.27700000000000014
0.0132,0.00954,-0.2869999999999999
0.0132,0.00983,-0.29700000000000015
0.0132,0.00998,-0.30699999999999994
0.0133,0.00998,-0.30699999999999994
0.0133,0.00983,-0.29700000000000015
0.0133,0.00953,-0.2869999999999999
0.0133,0.00909,-0.27700000000000014
0.0133,0.00851,-0.2570000000000001
0.0134,0.0078,-0.2370000000000001
0.0134,0.00697,-0.20699999999999985
0.0134,0.00604,-0.17700000000000005
0.0134,0.00502,-0.1469999999999998
0.0134,0.00393,-0.11699999999999999
0.0135,0.00277,-0.08699999999999974
0.0135,0.000355,-0.007000000000000117
0.0135,-0.00208,0.06300000000000017
0.0136,-0.00327,0.09299999999999997
0.0136,-0.0044,0.133
0.0136,-0.00546,0.16300000000000026
0.0136,-0.00645,0.19300000000000006
0.0136,-0.00734,0.21300000000000008
0.0137,-0.00811,0.2330000000000001
0.0137,-0.00877,0.2530000000000001
0.0137,-0.00929,0.27300000000000013
0.0137,-0.00967,0.2829999999999999
0.0137,-0.00991,0.2829999999999999
0.0137,-0.00999,0.29300000000000015
0.0138,-0.00997,0.2829999999999999
0.0138,-0.00979,0.2829999999999999
0.0138,-0.00947,0.27300000000000013
0.0138,-0.009,0.2629999999999999
0.0138,-0.0084,0.24299999999999988
0.0139,-0.00768,0.22299999999999986
0.0139,-0.00683,0.20299999999999985
0.0139,-0.00589,0.17300000000000004
0.0139,-0.00485,0.14300000000000024
0.0139,-0.00375,0.11299999999999999
0.014,-0.00259,0.07299999999999995
0.014,-0.00016,0.0030000000000001137
0.014,0.00227,-0.06699999999999973
0.0141,0.00345,-0.10699999999999976
0.0141,0.00457,-0.137
0.0141,0.00563,-0.16699999999999982
0.0141,0.0066,-0.19700000000000006
0.0141,0.00747,-0.22699999999999987
0.0142,0.00822,-0.2469999999999999
0.0142,0.00886,-0.2669999999999999
0.0142,0.00936,-0.2869999999999999
0.0142,0.00972,-0.29700000000000015
0.0142,0.00993,-0.30699999999999994
0.0142,0.01,-0.30699999999999994
0.0143,0.00996,-0.30699999999999994
0.0143,0.00978,-0.29700000000000015
0.0143,0.00945,-0.2869999999999999
0.0143,0.00897,-0.27700000000000014
0.0143,0.00837,-0.2570000000000001
0.0144,0.00763,-0.22699999999999987
0.0144,0.00678,-0.20699999999999985
0.0144,0.00583,-0.17700000000000005
0.0144,0.0048,-0.1469999999999998
0.0144,0.00369,-0.10699999999999976
0.0145,0.00252,-0.07699999999999996
0.0145,9.36e-05,0.0030000000000001137
0.0145,-0.00234,0.07299999999999995
0.0146,-0.00351,0.1030000000000002
0.0146,-0.00463,0.133
0.0146,-0.00568,0.16300000000000026
0.0146,-0.00665,0.19300000000000006
0.0146,-0.00751,0.22299999999999986
0.0147,-0.00826,0.24299999999999988
0.0147,-0.00889,0.2530000000000001
0.0147,-0.00938,0.27300000000000013
0.0147,-0.00974,0.2829999999999999
0.0147,-0.00994,0.2829999999999999
0.0147,-0.01,0.29300000000000015
0.0148,-0.00996,0.2829999999999999
0.0148,-0.00977,0.2829999999999999
0.0148,-0.00943,0.27300000000000013
0.0148,-0.00896,0.2629999999999999
0.0148,-0.00834,0.24299999999999988
0.0149,-0.00761,0.22299999999999986
0.0149,-0.00675,0.19300000000000006
0.0149,-0.0058,0.17300000000000004
0.0149,-0.00476,0.14300000000000024
0.0149,-0.00365,0.1030000000000002
0.015,-0.00248,0.07299999999999995
0.015,0.00117,-0.03699999999999992
